,Date,Price,Open,High,Low,Change %,Target
0,"Oct 28, 2019",1.1091,1.1085,1.1107,1.1076,0.06,1
1,"Oct 27, 2019",1.1084,1.1083,1.1085,1.1078,0.04,1
2,"Oct 25, 2019",1.108,1.1105,1.1124,1.1073,-0.22,0
3,"Oct 24, 2019",1.1104,1.113,1.1162,1.1092,-0.24,0
4,"Oct 23, 2019",1.1131,1.1124,1.114,1.1105,0.05,1
5,"Oct 22, 2019",1.1125,1.1149,1.1158,1.1117,-0.22,0
6,"Oct 21, 2019",1.1149,1.1142,1.118,1.1136,-0.2,0
7,"Oct 18, 2019",1.1171,1.1126,1.1174,1.1115,0.42,1
8,"Oct 17, 2019",1.1124,1.1073,1.1141,1.1065,0.47,1
9,"Oct 16, 2019",1.1072,1.1033,1.1087,1.1022,0.35,1
10,"Oct 15, 2019",1.1033,1.1029,1.1047,1.0991,0.04,1
11,"Oct 14, 2019",1.1029,1.1043,1.1049,1.1012,-0.12,0
12,"Oct 11, 2019",1.1042,1.1006,1.1064,1.1001,0.33,1
13,"Oct 10, 2019",1.1006,1.0972,1.1036,1.0971,0.32,1
14,"Oct 09, 2019",1.0971,1.0957,1.0991,1.0952,0.14,1
15,"Oct 08, 2019",1.0956,1.0971,1.0997,1.0941,-0.14,0
16,"Oct 07, 2019",1.0971,1.0975,1.1001,1.0961,-0.06,0
17,"Oct 04, 2019",1.0978,1.0964,1.0999,1.0957,0.11,1
18,"Oct 03, 2019",1.0966,1.0959,1.1001,1.0941,0.06,1
19,"Oct 02, 2019",1.0959,1.0932,1.0964,1.0903,0.25,1
20,"Oct 01, 2019",1.0932,1.0901,1.0944,1.0879,0.29,1
21,"Sep 30, 2019",1.09,1.094,1.0949,1.0885,-0.36,0
22,"Sep 27, 2019",1.0939,1.092,1.0959,1.0904,0.16,1
23,"Sep 26, 2019",1.0922,1.0942,1.0968,1.0908,-0.19,0
24,"Sep 25, 2019",1.0943,1.102,1.1025,1.0938,-0.7,0
25,"Sep 24, 2019",1.102,1.0994,1.1026,1.0984,0.25,1
26,"Sep 23, 2019",1.0993,1.1016,1.1027,1.0966,-0.23,0
27,"Sep 20, 2019",1.1018,1.1041,1.1069,1.0995,-0.21,0
28,"Sep 19, 2019",1.1041,1.1029,1.1074,1.1022,0.1,1
29,"Sep 18, 2019",1.103,1.1072,1.1076,1.1013,-0.39,0
30,"Sep 17, 2019",1.1073,1.1,1.1076,1.099,0.65,1
31,"Sep 16, 2019",1.1002,1.1087,1.1093,1.0994,-0.66,0
32,"Sep 13, 2019",1.1075,1.1064,1.1111,1.1055,0.11,1
33,"Sep 12, 2019",1.1063,1.1011,1.1088,1.0927,0.48,1
34,"Sep 11, 2019",1.101,1.1043,1.1056,1.0984,-0.3,0
35,"Sep 10, 2019",1.1043,1.1045,1.1059,1.103,-0.05,0
36,"Sep 09, 2019",1.1048,1.1024,1.1069,1.1016,0.17,1
